"Timestamp","Sandford Hydro (KW)","1800TH (m3/s)","1502TH/U (mAOD)","1303TH/U (mAOD)","1303TH/D (mAOD)","1301TH/U (mAOD)","1301TH/D (mAOD)","1100TH (m3/s)"
"2022-03-06 00:00:00",266.4177540983606557,55.8740000000000000,53.9090000000000000,56.5560000000000000,55.0250000000000000,59.0079999999999960,58.3850000000000000,27.7210000000000000
"2022-03-05 23:45:00",266.6829508196721311,55.8320000000000000,53.9100000000000000,56.5550000000000000,55.0250000000000000,59.0090000000000000,58.3870000000000000,27.7580000000000000
"2022-03-05 23:30:00",266.6527500000000000,55.8880000000000000,53.9100000000000000,56.5580000000000000,55.0250000000000000,59.0109999999999960,58.3919999999999960,27.8290000000000000
"2022-03-05 23:15:00",266.4637704918032787,55.8930000000000000,53.9100000000000000,56.5560000000000000,55.0250000000000000,59.0100000000000000,58.3799999999999950,27.7050000000000000
"2022-03-05 23:00:00",266.4545833333333333,56.0300000000000000,53.9109999999999940,56.5600000000000000,55.0280000000000000,59.0079999999999960,58.3840000000000000,27.7680000000000000
"2022-03-05 22:45:00",267.1289016393442623,55.9240000000000000,53.9120000000000000,56.5560000000000000,55.0370000000000000,59.0070000000000000,58.3880000000000000,27.7760000000000000
"2022-03-05 22:30:00",267.4100327868852459,55.9460000000000000,53.9120000000000000,56.5620000000000000,55.0250000000000000,59.0070000000000000,58.3940000000000000,27.7850000000000000
"2022-03-05 22:15:00",267.5987758620689655,55.9730000000000000,53.9120000000000000,56.5580000000000000,55.0250000000000000,59.0070000000000000,58.3850000000000000,27.7640000000000000
"2022-03-05 22:00:00",267.5275081967213115,55.8880000000000000,53.9120000000000000,56.5610000000000000,55.0310000000000000,59.0060000000000000,58.3889999999999960,27.7640000000000000
"2022-03-05 21:45:00",267.7983333333333333,55.9700000000000000,53.9079999999999940,56.5650000000000000,55.0400000000000000,59.0100000000000000,58.3919999999999960,27.7970000000000000
"2022-03-05 21:30:00",267.8213770491803279,55.7160000000000000,53.9150000000000000,56.5650000000000000,55.0430000000000000,59.0100000000000000,58.3889999999999960,27.8590000000000000
"2022-03-05 21:15:00",268.0450666666666667,55.5400000000000000,53.9109999999999940,56.5610000000000000,55.0310000000000000,59.0079999999999960,58.3900000000000000,27.8620000000000000
"2022-03-05 21:00:00",267.9353934426229508,55.6530000000000000,53.9130000000000000,56.5670000000000000,55.0310000000000000,59.0070000000000000,58.3900000000000000,27.8760000000000000
"2022-03-05 20:45:00",268.2553275862068966,55.4990000000000000,53.9169999999999940,56.5610000000000000,55.0400000000000000,59.0090000000000000,58.3889999999999960,27.8470000000000000
"2022-03-05 20:30:00",267.9241475409836066,55.4560000000000000,53.9130000000000000,56.5610000000000000,55.0400000000000000,59.0109999999999960,58.3940000000000000,27.9010000000000000
"2022-03-05 20:15:00",267.9395166666666667,55.2660000000000000,53.9130000000000000,56.5610000000000000,55.0370000000000000,59.0090000000000000,58.3919999999999960,28.0730000000000000
"2022-03-05 20:00:00",268.2175245901639344,54.7880000000000000,53.9169999999999940,56.5690000000000000,55.0400000000000000,59.0070000000000000,58.3970000000000000,27.9580000000000000
"2022-03-05 19:45:00",269.0492166666666667,54.6000000000000000,53.9150000000000000,56.5680000000000000,55.0400000000000000,59.0090000000000000,58.3940000000000000,27.9830000000000000
"2022-03-05 19:30:00",269.2092459016393443,54.6830000000000000,53.9150000000000000,56.5650000000000000,55.0400000000000000,59.0079999999999960,58.3930000000000000,28.0050000000000000
